Gender;E-Paylater User Status;Educational Background;Age;Job Status;Monthly Income;Average monthly expenditure for online shopping in relation to monthly income;IBB;P;SI;H;SC;NE
2;1;3;27;2;3;1;2.5;3;1.67;3.5;3.6;3
1;2;1;22;1;2;2;1.75;3.25;2;4;3.4;4.8
1;1;1;22;1;2;1;3;3;3.17;4;4;3
2;2;3;22;1;1;1;4;4;4;4;3.6;1.2
1;2;3;22;2;6;1;1;2;1.83;3.25;3.2;2.8
1;2;1;24;1;2;2;4;3.25;4;3.5;1.6;3.8
2;1;1;22;1;1;1;3;1;1;5;4.2;5
2;1;1;22;1;1;2;1.75;1;1;5;3.6;5
2;2;3;23;4;6;1;2;2;2.17;2.25;3.2;4.6
1;1;3;22;2;6;1;3;2;3;3;3.4;3
2;1;3;21;2;2;2;1.25;2;2;3;3.2;3.4
2;1;1;22;1;2;1;4;4;3.83;2;3.4;3.6
1;1;4;23;2;6;1;3.5;1.75;2;3.25;3.2;3.2
1;1;4;25;4;3;1;2.25;2;3;3;3;5
1;1;3;22;1;1;1;2.5;2.25;2.33;3.25;3.4;2.6
1;1;4;24;2;3;1;4;2;2.17;3;2;3.8
1;2;2;22;1;2;2;3.25;4;3;3.25;3;3.2
2;2;2;22;2;4;2;3.5;3.75;3.83;3.5;4.2;3.6
1;2;3;46;4;6;2;4.25;2;3.5;2.25;4;3.4
1;1;3;44;1;1;1;3;5;3.33;4;3.4;4.8
1;1;1;25;1;1;2;3.75;4.25;4.67;4;3.6;3.6
2;1;3;22;2;2;1;2;2;2;2;2;3
1;1;3;25;2;6;1;2.25;1;1;2.5;2.2;3.8
2;2;1;46;1;1;2;2.75;3.75;3.17;4;4;3
2;1;1;26;1;2;1;2;3;2;4;4;3.6
1;2;2;33;2;4;1;3.75;3.75;4.33;3.75;4;3
1;1;2;25;2;3;2;1.5;2;1.5;1.25;1.6;2.8
1;1;1;27;1;1;6;2;2.25;4;3.75;3.6;4.2
1;1;4;46;2;4;2;3.5;2.5;3;3.5;3.6;3.6
1;1;3;26;2;5;1;3.25;1;3;3;3.4;4.8
1;2;3;25;2;6;1;3;1;2.17;3.75;3.2;2.4
2;1;1;23;1;3;1;4;1.5;2;4.25;3;3
2;1;1;26;1;1;1;2.75;1;1;3;4;3.6
1;1;3;26;4;3;2;3.5;2;2;2;3.2;4
1;1;1;23;1;1;1;3;2.5;2.33;4;4;3.4
2;1;2;26;1;1;1;2.5;1.5;3.5;3.25;2.8;3.6
1;2;2;26;2;4;1;3.75;3.75;4.33;3.75;4;3
2;1;2;24;1;1;1;2;2.75;2.5;5;2.6;2.2
2;1;3;24;1;2;2;4.5;1;1.5;5;4;5
2;2;1;26;3;4;1;2.75;2;2;3;3.4;3
2;2;3;26;1;2;2;3.75;3.75;3;3.75;3.4;3.8
2;1;3;28;1;4;1;1.75;1;1;1;2.6;5
2;2;3;39;2;2;4;3;4;3;4;3;3
1;1;1;26;1;1;2;3.25;3;3.83;2.5;3.6;4.4
2;2;1;46;1;2;2;4;3;3;4;3.8;3
2;1;3;44;3;5;1;2;2;2;3;3.2;2.6
1;1;3;20;2;6;1;2.5;4;1;3.75;4.2;4
1;1;3;26;2;6;1;3;2;2;3.25;3.6;3.4
1;2;3;36;3;1;1;5;5;5;5;5;5
2;1;4;21;2;5;1;3.25;1;1.33;2;3.4;3.2
1;1;3;26;4;3;1;2.5;1;1;3;3;5
2;2;4;27;2;2;1;2;2.75;2.5;2;3;2.2
2;1;3;37;1;1;1;3;2;2;3.75;3.2;4.2
2;2;3;45;1;1;1;2;4;4;4;3.6;2.2
2;1;1;22;1;1;1;4.25;1.75;2.5;5;3;2.2
2;1;3;24;2;4;1;1.75;1;1.5;4;3.6;2.8
2;2;2;24;1;1;2;4;4;1;4;4;3.4
2;1;4;26;2;3;1;2.25;1;2;4;3.4;4.2
1;2;4;25;2;5;2;1.75;4.25;3.67;4.5;2.6;3.6
2;2;1;35;1;2;1;3.75;3.25;3.5;3.5;3.6;3
2;2;1;40;1;1;1;1.5;1.75;2;3.25;3;3.6
2;1;1;29;1;1;1;3.5;3;2.67;4;3.4;3
2;1;3;48;2;6;1;3.5;1;2;3;3;3
2;2;4;27;4;5;3;4;4.25;4.33;4;4;2
2;1;3;45;1;1;2;3;3;2.17;4;4;3.2
